2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,State
1863,2128,1913,1946,1784,1956,1940,1845,2016,1907,1949,AK
6046,5558,5209,4689,4561,3970,4111,3793,3434,3261,3351,AL
2762,3424,4214,3812,2936,2560,2463,2467,2712,2717,2366,AR
 , , , , , , , , , , ,AS
13711,10504,11302,10562,10495,9896,9707,8947,9865,10007,10979,AZ
123480,125128,120098,118552,113952,115738,118142,131532,129972,151278,161548,CA
15482,15116,16768,9754,10028,9953,10550,10940,10857,9619,9846,CO
4316,4456,4209,4448,4450,4047,3902,3388,3976,3033,2905,CT
6539,6546,6954,6865,7748,7298,8350,7473,6904,6521,6380,DC
982,1035,1008,946,901,953,1070,994,1082,921,1165,DE
57551,56687,55170,47862,41542,35900,33559,32190,31030,28328,27487,FL
19836,20975,20516,16971,16521,13790,12909,10174,9499,10443,10234,GA
1635,1745,1301,1271,1356,1280,1085,852,854,875,790,GU
5834,6188,6246,6335,6918,7620,7921,7220,6530,6412,6458,HI
3014,3134,2928,3084,3122,3081,3064,2756,2749,2315,2647,IA
2346,2199,1968,1781,2104,1966,2247,2037,2012,2315,2315,ID
14395,14009,14144,13425,13107,13177,11590,10798,10643,10199,10431,IL
6452,6196,6259,6096,5971,5863,5798,5438,5258,5471,5625,IN
2024,2511,2684,2693,2783,2588,2255,2287,2216,2381,2449,KS
6623,6034,5230,5245,5089,4538,4237,4025,3688,4079,4011,KY
12482,9291,7772,5226,4606,4081,3994,3305,3059,2941,3173,LA
16646,16664,17501,19029,21237,21135,19608,17565,20068,18471,17975,MA
10845,10208,9454,8205,7856,8390,7689,7247,7144,6561,6360,MD
2379,2447,2393,3016,2726,2372,2241,2280,2516,2106,2097,ME
13058,13185,12592,11527,12227,10516,9316,9051,8351,8575,8638,MI
7869,7495,7744,8214,8377,7546,7341,7668,7243,7977,7940,MN
8122,8989,10237,8581,7282,6482,6194,6037,5883,6179,6527,MO
 , , , , , , ,672,1044,1807,1207,MP
2743,2306,2413,2403,2226,1983,1738,1472,1352,1184,1107,MS
1615,1768,1833,1878,1745,1709,1418,1529,1405,1357,1545,MT
12191,12896,13524,12168,11491,10685,9559,8962,9268,9314,9280,NC
799,603,688,2069,1258,1305,923,1089,542,557,541,ND
3877,3548,3789,3145,3026,2744,2754,2501,2421,2365,2404,NE
1574,1469,1496,1447,1376,1445,1366,1456,1450,1396,1675,NH
13737,14137,13025,12002,11671,10098,8895,8536,9398,8862,9662,NJ
3475,3601,3245,2819,2746,2629,2263,2482,2551,3241,3333,NM
11205,9150,8497,7039,8582,8743,7398,7833,7544,7169,6900,NV
65606,63445,69566,77430,80590,88250,86352,89503,91897,92091,91271,NY
12569,13030,13977,12325,11823,11182,10404,10095,10249,10345,10655,OH
5229,4625,5032,4408,4191,3777,4107,4199,3871,3944,3932,OK
19492,17254,15828,13822,12164,13226,13238,13953,14476,15876,14655,OR
14516,15096,14736,15086,15333,15421,15339,14138,13512,13199,13375,PA
4149,2900,3212,4128,4132,4518,4418,3525,3182,2535,2451,PR
1282,1070,1277,1384,1190,1111,1160,1180,1101,1055,1104,RI
4473,5093,4915,6544,5057,5354,5051,3916,3933,4172,4287,SC
731,826,859,1094,885,1036,1072,943,1159,995,1058,SD
10276,9113,9426,9528,9415,9123,8779,8309,7883,7467,7256,TN
35121,36911,34052,29615,28495,23678,23122,23548,25310,25848,27229,TX
3284,3130,3527,3277,3081,3025,2807,2852,2876,2798,3131,UT
9080,8816,8424,7625,7020,7001,6268,6067,5975,5783,5957,VA
487,532,484,482,448,337,341,381,486,314,304,VI
1220,1144,1160,1454,1559,1523,1117,1225,1291,1089,1110,VT
22878,20439,20504,17760,18442,19419,20827,21112,22304,21577,22923,WA
6333,5785,6027,6104,6055,6057,5685,5027,4907,4538,4515,WI
2264,2211,2410,2240,2013,1835,1387,1309,1243,1397,1341,WV
579,1038,1813,953,757,798,857,873,639,548,612,WY
637077,623788,621553,590364,576450,564708,549928,550996,552830,567715,580466,Total
